date,open,high,low,close,settlement,total_turnover,volume,open_interest
2013/1/2,1676.4,1695.4,1670.9,1685.3,1688.8,0,113191,254244
2013/1/3,1686.2,1690.5,1661.2,1664,1674.6,0,135090,252765
2013/1/4,1663.8,1664.5,1626,1658.4,1648.9,0,231601,248488
2013/1/7,1656.3,1663,1642.6,1647.9,1646.3,0,129900,239672
2013/1/8,1647.6,1662.7,1646.8,1662.2,1662.2,0,133959,246404
2013/1/9,1659.9,1666,1651.3,1658.3,1655.5,0,121110,230049
2013/1/10,1658,1678.8,1653.8,1673,1678,0,142657,215011
2013/1/11,1674.1,1676.9,1653.1,1664,1660.6,0,163210,208004
2013/1/14,1659.5,1674.8,1659.5,1666,1669.4,0,118187,195146
2013/1/15,1667.8,1684.9,1666.2,1678.7,1683.9,0,141710,200441
2013/1/16,1679.7,1684.7,1673,1680.8,1683.2,0,137942,200441
2013/1/17,1680.5,1697.8,1666.4,1688,1690.8,0,203168,187278
2013/1/18,1687.4,1695.1,1683.3,1685,1687,0,116267,187059
2013/1/22,1686.5,1695.9,1684.8,1693.6,1693.2,0,165630,180044
2013/1/23,1691.7,1694.8,1683.1,1686.4,1686.7,0,141936,160918
2013/1/24,1683.8,1685.8,1664.2,1667.7,1669.9,0,180712,160918
2013/1/25,1667,1671.6,1655,1658.8,1656.6,0,162598,148517
2013/1/28,1660.9,1663.6,1653.2,1656.6,1655,0,98306,176135
2013/1/29,1656,1667.1,1655.6,1663.9,1662.7,0,118290,202134
2013/1/30,1664.1,1685,1663.5,1681,1681.6,0,183182,235113
2013/1/31,1677,1681.7,1658.4,1664.7,1662,0,159604,256281
2013/2/1,1665.2,1683,1660.6,1667.6,1670.6,0,177023,255662
2013/2/4,1669.1,1678.6,1661.8,1674.3,1676.4,0,112743,255446
2013/2/5,1675.5,1687,1667.2,1674.4,1673.5,0,154104,255161
2013/2/6,1673.4,1680.5,1668.8,1677.7,1678.8,0,96924,253889
2013/2/7,1678,1683.9,1663.4,1671.7,1671.3,0,183658,253813
2013/2/8,1671.8,1674.3,1665.8,1668.2,1666.9,0,94641,250380
2013/2/11,1667.9,1670.3,1644.1,1649.5,1649.1,0,161617,251462
2013/2/12,1648.6,1653.8,1639.5,1651.6,1649.6,0,137005,261047
2013/2/13,1652.5,1655,1640.5,1643.4,1645.1,0,130733,260279
2013/2/14,1642.5,1650,1632.8,1634.4,1635.5,0,174218,263963
2013/2/15,1634.2,1636,1596.7,1607.3,1609.5,0,258503,259095
2013/2/19,1610,1618.8,1600.2,1601.1,1604.2,0,734438,262575
2013/2/20,1604.2,1609.2,1558.1,1579.2,1578,0,260188,264444
2013/2/21,1564.8,1584.4,1554.3,1576,1578.6,0,223514,262295
2013/2/22,1577,1587,1569.3,1573,1572.8,0,142742,261533
2013/2/25,1579.7,1596.5,1574.7,1592.5,1586.6,0,163261,264423
2013/2/26,1592.7,1619.7,1583.7,1589,1615.5,0,254801,255931
2013/2/27,1613.6,1614.4,1591.4,1603.8,1595.7,0,172102,247653
2013/2/28,1596.3,1602.5,1574.3,1579.8,1578.1,0,190152,244812
2013/3/1,1578.5,1586.9,1564,1576.9,1572.3,0,194312,245211
2013/3/4,1578,1584.3,1568.7,1572.4,1572.4,0,122749,242647
2013/3/5,1574.2,1585.8,1571.1,1574.1,1574.9,0,146696,240492
2013/3/6,1574.9,1584.3,1566.4,1583.7,1574.9,0,169718,237704
2013/3/7,1583.8,1584.9,1574,1575.1,1575.1,0,141359,233876
2013/3/8,1577.4,1583.1,1560.4,1576.4,1576.9,0,214279,221182
2013/3/11,1578.3,1582.5,1574.5,1579,1578,0,101342,215642
